partner,cover,room_count,pricing_zone,cover_monthly_price,cover_monthly_price_no_tax,cover_monthly_price_tax
demo,ASSIST,5,ZFRANCE,0.37248,0.34173,0.03076
demo,ASSIST,5,ZNOTFOUND,0.37248,0.34173,0.03076
demo,ASSIST,4,ZFRANCE,0.16769,0.15385,0.01385
demo,ASSIST,4,ZNOTFOUND,0.16769,0.15385,0.01385
demo,ASSIST,3,ZFRANCE,0.07932,0.07277,0.00655
demo,ASSIST,3,ZNOTFOUND,0.07932,0.07277,0.00655
demo,ASSIST,2,ZFRANCE,0.07200,0.06606,0.00595
demo,ASSIST,2,ZNOTFOUND,0.07200,0.06606,0.00595
demo,ASSIST,1,ZFRANCE,0.05700,0.05230,0.00471
demo,ASSIST,1,ZNOTFOUND,0.05700,0.05230,0.00471
demo,BDVIMM,5,ZFRANCE,9.16352,8.40690,0.75662
demo,BDVIMM,5,ZNOTFOUND,9.16352,8.40690,0.75662
demo,BDVIMM,4,ZFRANCE,6.91081,6.34019,0.57062
demo,BDVIMM,4,ZNOTFOUND,6.91081,6.34019,0.57062
demo,BDVIMM,3,ZFRANCE,6.22663,5.71251,0.51413
demo,BDVIMM,3,ZNOTFOUND,6.22663,5.71251,0.51413
demo,BDVIMM,2,ZFRANCE,4.70048,4.31237,0.38811
demo,BDVIMM,2,ZNOTFOUND,4.70048,4.31237,0.38811
demo,BDVIMM,1,ZFRANCE,4.38510,4.02302,0.36207
demo,BDVIMM,1,ZNOTFOUND,4.38510,4.02302,0.36207
demo,CATNAT,5,ZNOTFOUND,64.36739,59.05265,5.31474
demo,CATNAT,4,ZNOTFOUND,49.13122,45.07451,4.05671
demo,CATNAT,3,ZNOTFOUND,40.87610,37.50101,3.37509
demo,CATNAT,2,ZNOTFOUND,30.71033,28.17461,2.53571
demo,CATNAT,1,ZNOTFOUND,22.00833,20.19113,1.81720
demo,CATNAT,5,ZDDEF9C3-ZINCFBCC-ZVOLFDCD,44.18336,40.53519,3.64817
demo,CATNAT,5,ZDDEF9C3-ZINCFBCC-ZVOLFCCC,41.71008,38.26613,3.44395
demo,CATNAT,5,ZDDEF9C3-ZINCFBCC-ZVOLFBCB,38.19889,35.04486,3.15404
demo,CATNAT,5,ZDDEF9C3-ZINCFBCC-ZVOLFACA,35.80097,32.84492,2.95604
demo,CATNAT,5,ZDDEF9C3-ZINCFBCB-ZVOLFDCD,44.02142,40.38662,3.63480
demo,CATNAT,5,ZDDEF9C3-ZINCFBCB-ZVOLFCCC,41.54814,38.11756,3.43058
demo,CATNAT,5,ZDDEF9C3-ZINCFBCB-ZVOLFBCB,38.03695,34.89629,3.14067
demo,CATNAT,5,ZDDEF9C3-ZINCFBCB-ZVOLFACA,35.63903,32.69635,2.94267
demo,CATNAT,5,ZDDEF9C3-ZINCFBCA-ZVOLFDCD,43.43417,39.84787,3.58631
demo,CATNAT,5,ZDDEF9C3-ZINCFBCA-ZVOLFCCC,40.96089,37.57880,3.38209
demo,CATNAT,5,ZDDEF9C3-ZINCFBCA-ZVOLFBCB,37.44971,34.35753,3.09218
demo,CATNAT,5,ZDDEF9C3-ZINCFBCA-ZVOLFACA,35.05178,32.15760,2.89418
demo,CATNAT,5,ZDDEF9C3-ZINCFACC-ZVOLFDCD,45.08934,41.36637,3.72297
demo,CATNAT,5,ZDDEF9C3-ZINCFACC-ZVOLFCCC,42.61606,39.09730,3.51876
demo,CATNAT,5,ZDDEF9C3-ZINCFACC-ZVOLFBCB,39.10487,35.87603,3.22884
demo,CATNAT,5,ZDDEF9C3-ZINCFACC-ZVOLFACA,36.70694,33.67610,3.03085
demo,CATNAT,5,ZDDEF9C3-ZINCFACB-ZVOLFDCD,44.90595,41.19812,3.70783
demo,CATNAT,5,ZDDEF9C3-ZINCFACB-ZVOLFCCC,42.43267,38.92905,3.50361
demo,CATNAT,5,ZDDEF9C3-ZINCFACB-ZVOLFBCB,38.92148,35.70778,3.21370
demo,CATNAT,5,ZDDEF9C3-ZINCFACB-ZVOLFACA,36.52355,33.50785,3.01571
demo,CATNAT,5,ZDDEF9C3-ZINCFACA-ZVOLFDCD,44.24091,40.58799,3.65292
demo,CATNAT,5,ZDDEF9C3-ZINCFACA-ZVOLFCCC,41.76763,38.31893,3.44870
demo,CATNAT,5,ZDDEF9C3-ZINCFACA-ZVOLFBCB,38.25644,35.09765,3.15879
demo,CATNAT,5,ZDDEF9C3-ZINCFACA-ZVOLFACA,35.85852,32.89772,2.96079
demo,CATNAT,5,ZDDEF9C2-ZINCFBCC-ZVOLFDCD,42.31344,38.81967,3.49377
demo,CATNAT,5,ZDDEF9C2-ZINCFBCC-ZVOLFCCC,39.84016,36.55061,3.28955
demo,CATNAT,5,ZDDEF9C2-ZINCFBCC-ZVOLFBCB,36.32898,33.32934,2.99964
demo,CATNAT,5,ZDDEF9C2-ZINCFBCC-ZVOLFACA,33.93105,31.12940,2.80165
demo,CATNAT,5,ZDDEF9C2-ZINCFBCB-ZVOLFDCD,42.15150,38.67110,3.48040
demo,CATNAT,5,ZDDEF9C2-ZINCFBCB-ZVOLFCCC,39.67822,36.40204,3.27618
demo,CATNAT,5,ZDDEF9C2-ZINCFBCB-ZVOLFBCB,36.16704,33.18077,2.98627
demo,CATNAT,5,ZDDEF9C2-ZINCFBCB-ZVOLFACA,33.76911,30.98083,2.78828
demo,CATNAT,5,ZDDEF9C2-ZINCFBCA-ZVOLFDCD,41.56426,38.13234,3.43191
demo,CATNAT,5,ZDDEF9C2-ZINCFBCA-ZVOLFCCC,39.09097,35.86328,3.22770
demo,CATNAT,5,ZDDEF9C2-ZINCFBCA-ZVOLFBCB,35.57979,32.64201,2.93778
demo,CATNAT,5,ZDDEF9C2-ZINCFBCA-ZVOLFACA,33.18186,30.44207,2.73979
demo,CATNAT,5,ZDDEF9C2-ZINCFACC-ZVOLFDCD,43.21942,39.65085,3.56858
demo,CATNAT,5,ZDDEF9C2-ZINCFACC-ZVOLFCCC,40.74614,37.38178,3.36436
demo,CATNAT,5,ZDDEF9C2-ZINCFACC-ZVOLFBCB,37.23495,34.16051,3.07445
demo,CATNAT,5,ZDDEF9C2-ZINCFACC-ZVOLFACA,34.83703,31.96058,2.87645
